demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
32246.880014,-0.0,15873.654411947797,16373.225602052202,0.0,2025-08-29 22:00:00,8,29,22,2025-08-29,late_evening_21_23,15873.654411947797,0.5077460391499505
30188.0653269999,-0.0,15873.654411947797,14314.410915052102,0.0,2025-08-29 23:00:00,8,29,23,2025-08-29,late_evening_21_23,15873.654411947797,0.4741745043942726
28691.8203069999,-0.0,15873.654411947797,12818.165895052103,0.0,2025-08-30 00:00:00,8,30,0,2025-08-30,night_00_05,15873.654411947797,0.44675331707430477
27146.941761,-0.0,15873.654411947797,11273.287349052202,0.0,2025-08-30 01:00:00,8,30,1,2025-08-30,night_00_05,15873.654411947797,0.41526914701116346
25640.53753,-0.0,15873.654411947797,9766.883118052205,0.0,2025-08-30 02:00:00,8,30,2,2025-08-30,night_00_05,15873.654411947797,0.38091569284086707
24678.799821,-0.0,15873.654411947797,8805.145409052204,0.0,2025-08-30 03:00:00,8,30,3,2025-08-30,night_00_05,15873.654411947797,0.35678985497340177
24096.004625,-0.0,15873.654411947797,8222.350213052205,0.0,2025-08-30 04:00:00,8,30,4,2025-08-30,night_00_05,15873.654411947797,0.3412329280731205
23869.084875,-0.0,15873.654411947797,7995.430463052204,0.0,2025-08-30 05:00:00,8,30,5,2025-08-30,night_00_05,15873.654411947797,0.3349701299787348
37707.294661,12872.495702384262,15873.654411947797,8961.14454666794,0.015936653918884,2025-08-30 19:00:00,8,30,19,2025-08-30,evening_peak_16_20,28746.150114332057,0.23765015833756686
36405.574101,-0.0,15873.654411947797,20531.9196890522,0.0,2025-08-30 20:00:00,8,30,20,2025-08-30,evening_peak_16_20,15873.654411947797,0.5639773632491136
34780.102611,-0.0,15873.654411947797,18906.448199052204,0.0,2025-08-30 21:00:00,8,30,21,2025-08-30,late_evening_21_23,15873.654411947797,0.5435995520344614
32677.76662,-0.0,15873.654411947797,16804.112208052204,0.0,2025-08-30 22:00:00,8,30,22,2025-08-30,late_evening_21_23,15873.654411947797,0.5142368633530624
30339.57506,-0.0,15873.654411947797,14465.920648052203,0.0,2025-08-30 23:00:00,8,30,23,2025-08-30,late_evening_21_23,15873.654411947797,0.4768003711141036
28811.609768,-0.0,15873.654411947797,12937.955356052202,0.0,2025-08-31 00:00:00,8,31,0,2025-08-31,night_00_05,15873.654411947797,0.44905353988314517
26903.670378,-0.0,15873.654411947797,11030.015966052202,0.0,2025-08-31 01:00:00,8,31,1,2025-08-31,night_00_05,15873.654411947797,0.4099818281698769
25660.265704,-0.0,15873.654411947797,9786.611292052205,0.0,2025-08-31 02:00:00,8,31,2,2025-08-31,night_00_05,15873.654411947797,0.3813916584085346
24476.809374,-0.0,15873.654411947797,8603.154962052204,0.0,2025-08-31 03:00:00,8,31,3,2025-08-31,night_00_05,15873.654411947797,0.35148187946386233
23607.0323079999,-0.0,15873.654411947797,7733.377896052103,0.0,2025-08-31 04:00:00,8,31,4,2025-08-31,night_00_05,15873.654411947797,0.32758788970824737
23451.870498,625.2710575590075,15873.654411947797,6952.945028493196,0.0007741100622754,2025-08-31 05:00:00,8,31,5,2025-08-31,night_00_05,16498.925469506805,0.2964772054786057
38171.695305,11867.706888495886,15873.654411947797,10430.334004556316,0.0146926860078643,2025-08-31 19:00:00,8,31,19,2025-08-31,evening_peak_16_20,27741.361300443685,0.27324785868732626
36729.916568,-0.0,15873.654411947797,20856.262156052202,0.0,2025-08-31 20:00:00,8,31,20,2025-08-31,evening_peak_16_20,15873.654411947797,0.5678276485447474
34970.990617,-0.0,15873.654411947797,19097.336205052205,0.0,2025-08-31 21:00:00,8,31,21,2025-08-31,late_evening_21_23,15873.654411947797,0.5460907989197383
32976.688212,-0.0,15873.654411947797,17103.033800052202,0.0,2025-08-31 22:00:00,8,31,22,2025-08-31,late_evening_21_23,15873.654411947797,0.5186401281444788
30402.646402,-0.0,15873.654411947797,14528.991990052202,0.0,2025-08-31 23:00:00,8,31,23,2025-08-31,late_evening_21_23,15873.654411947797,0.4778857668487843
28562.022861,-0.0,15873.654411947797,12688.368449052205,0.0,2025-09-01 00:00:00,9,1,0,2025-09-01,night_00_05,15873.654411947797,0.4442391391814734
26934.123459,-0.0,15873.654411947797,11060.469047052202,0.0,2025-09-01 01:00:00,9,1,1,2025-09-01,night_00_05,15873.654411947797,0.41064893252935475
25664.4116389999,-0.0,15873.654411947797,9790.757227052103,0.0,2025-09-01 02:00:00,9,1,2,2025-09-01,night_00_05,15873.654411947797,0.3814915909536757
24555.848426,-0.0,15873.654411947797,8682.194014052204,0.0,2025-09-01 03:00:00,9,1,3,2025-09-01,night_00_05,15873.654411947797,0.35356929491629385
23956.521252,-0.0,15873.654411947797,8082.866840052202,0.0,2025-09-01 04:00:00,9,1,4,2025-09-01,night_00_05,15873.654411947797,0.3373973522711444
24018.926757,-0.0,15873.654411947797,8145.272345052204,0.0,2025-09-01 05:00:00,9,1,5,2025-09-01,night_00_05,15873.654411947797,0.3391189134909357
40532.006719,10996.682529707161,15873.654411947797,13661.669777345038,0.0136143237320577,2025-09-01 19:00:00,9,1,19,2025-09-01,evening_peak_16_20,26870.336941654958,0.3370588057003583
38817.078537,-0.0,15873.654411947797,22943.424125052203,0.0,2025-09-01 20:00:00,9,1,20,2025-09-01,evening_peak_16_20,15873.654411947797,0.5910651957792957
37005.472075,152.42926278798262,15873.654411947797,20979.388400264215,0.0001887133982661,2025-09-01 21:00:00,9,1,21,2025-09-01,late_evening_21_23,16026.083674735779,0.5669266523000901
